date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/1/2015,Quarter1,sewing,Thursday,8,0.9999999999999999,0.4502516453735965,0.04763140817650876,0.27314814814814814,0.02722222222222222,0.0,0.0,0.0,0.6551724137931034,0.7973321464253332
1/1/2015,Quarter1,finishing,Thursday,1,0.9315068493150683,0.020131629887727445,0.04763140817650876,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,0.7361801607832763
1/1/2015,Quarter1,sewing,Thursday,11,0.9999999999999999,0.16473093302361594,0.041574735020549425,0.1412037037037037,0.013888888888888888,0.0,0.0,0.0,0.3275862068965517,0.6392743248889362
1/1/2015,Quarter1,sewing,Thursday,12,0.9999999999999999,0.16473093302361594,0.041574735020549425,0.1412037037037037,0.013888888888888888,0.0,0.0,0.0,0.3275862068965517,0.6392743248889362
1/1/2015,Quarter1,sewing,Thursday,6,0.9999999999999999,0.44521873790166466,0.05031364914557646,0.07407407407407407,0.013888888888888888,0.0,0.0,0.0,0.6206896551724138,0.6390616924420449
1/1/2015,Quarter1,sewing,Thursday,7,0.9999999999999999,0.44521873790166466,0.04226692623837335,0.25925925925925924,0.010555555555555556,0.0,0.0,0.0,0.6206896551724138,0.638771927334836
1/1/2015,Quarter1,finishing,Thursday,2,0.9315068493150683,0.020131629887727445,0.04226692623837335,0.037037037037037035,0.0,0.0,0.0,0.0,0.06896551724137931,0.5880707777392734
1/1/2015,Quarter1,sewing,Thursday,3,0.9315068493150683,0.4874177313201702,0.03409041747782825,0.2662037037037037,0.0125,0.0,0.0,0.0,0.6379310344827587,0.5863981314832948
1/1/2015,Quarter1,sewing,Thursday,2,0.9315068493150683,0.32849399922570655,0.031408176508760544,0.23148148148148148,0.009444444444444445,0.0,0.0,0.0,0.6091954022988506,0.5857373377100453
1/1/2015,Quarter1,sewing,Thursday,1,0.9315068493150683,0.4874177313201702,0.02915855505083279,0.2662037037037037,0.0125,0.0,0.0,0.0,0.6379310344827587,0.5827266141456058
1/1/2015,Quarter1,sewing,Thursday,9,0.8630136986301368,0.4874177313201702,0.03742158771360588,0.2662037037037037,0.012222222222222223,0.0,0.0,0.0,0.6379310344827587,0.5496829569786689
1/1/2015,Quarter1,sewing,Thursday,10,0.9315068493150683,0.3176538908246225,0.02470257408609128,0.25,0.0125,0.0,0.0,0.0,0.5977011494252874,0.5396216196653342
1/1/2015,Quarter1,sewing,Thursday,5,0.9999999999999999,0.16473093302361594,0.028596149686350852,0.1412037037037037,0.013888888888888888,0.0,0.0,0.0,0.3275862068965517,0.5338032383952787
